TITLES,RATINGS
159. Howl's Moving Castle,8.2 (445K)
160. The Elephant Man,8.2 (257K)
161. Chinatown,8.1 (348K)
162. Dial M for Murder,8.2 (188K)
163. Gone with the Wind,8.2 (333K)
164. V for Vendetta,8.2 (1.2M)
"165. Lock, Stock and Two Smoking Barrels",8.1 (614K)
166. The Secret in Their Eyes,8.2 (222K)
167. Inside Out,8.1 (780K)
168. Raging Bull,8.1 (379K)
"169. Three Billboards Outside Ebbing, Missouri",8.1 (552K)
170. Trainspotting,8.1 (723K)
171. The Bridge on the River Kwai,8.1 (233K)
172. Spider-Man: No Way Home,8.2 (871K)
173. Fargo,8.1 (723K)
174. Klaus,8.2 (188K)
175. Warrior,8.1 (496K)
176. Catch Me If You Can,8.1 (1.1M)
177. Godzilla Minus One,8.3 (46K)
178. Gran Torino,8.1 (812K)
179. My Neighbor Totoro,8.1 (377K)
180. Million Dollar Baby,8.1 (719K)
181. Harry Potter and the Deathly Hallows: Part 2,8.1 (943K)
182. Children of Heaven,8.2 (80K)
183. 12 Years a Slave,8.1 (739K)
184. Blade Runner,8.1 (820K)
185. Before Sunrise,8.1 (337K)
186. The Grand Budapest Hotel,8.1 (882K)
187. Ben-Hur,8.1 (252K)
188. Barry Lyndon,8.1 (182K)
189. Gone Girl,8.1 (1.1M)
190. Hacksaw Ridge,8.1 (590K)
191. The Gold Rush,8.1 (118K)
192. In the Name of the Father,8.1 (186K)
193. Memories of Murder,8.1 (214K)
194. Dead Poets Society,8.1 (542K)
195. On the Waterfront,8.1 (164K)
196. The General,8.1 (98K)
197. The Deer Hunter,8.1 (361K)
198. Wild Tales,8.1 (215K)
199. Mad Max: Fury Road,8.1 (1.1M)
"200. Monsters, Inc.",8.1 (974K)
201. Sherlock Jr.,8.2 (57K)
202. The Third Man,8.1 (181K)
203. Wild Strawberries,8.1 (114K)
204. The Wages of Fear,8.2 (66K)
205. Jaws,8.1 (656K)
206. How to Train Your Dragon,8.1 (796K)
207. Mary and Max,8.1 (186K)
208. Mr. Smith Goes to Washington,8.1 (121K)
209. Ford v Ferrari,8.1 (464K)
210. Ratatouille,8.1 (818K)
211. Tokyo Story,8.1 (68K)
212. The Seventh Seal,8.1 (198K)
213. Room,8.1 (448K)
214. The Big Lebowski,8.1 (857K)
215. Rocky,8.1 (626K)
216. Logan,8.1 (826K)
217. Spotlight,8.1 (500K)
218. Hotel Rwanda,8.1 (371K)
219. Platoon,8.1 (438K)
220. The Terminator,8.1 (920K)
221. The Passion of Joan of Arc,8.1 (60K)
222. Before Sunset,8.1 (287K)
223. La haine,8.1 (195K)
224. The Best Years of Our Lives,8.1 (70K)
225. Jai Bhim,8.7 (216K)
226. The Exorcist,8.1 (453K)
227. Pirates of the Caribbean: The Curse of the Black Pearl,8.1 (1.2M)
228. Rush,8.1 (511K)
